"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MULE-15660",22,3.0,22,3.0,0,0.0
"MULE-15657",14,8.0,7,8.0,7,0.0
"MULE-15656",7,4.0,7,4.0,0,0.0
"MULE-15655",178,2.0,178,"2.0",0,0.0
"MULE-15647",18,4.0,18,4.0,0,0.0
"MULE-15646",8,0.0,8,"0.0",0,0.0
"MULE-15644",39,1.0,39,1.0,0,0.0
"MULE-15643",56,4.0,56,4.0,0,0.0
"MULE-15642",20,2.0,20,2.0,0,0.0
"MULE-15640",176,1.0,176,1.0,0,0.0
"MULE-15637",28,4.0,28,4.0,0,0.0
"MULE-15636",65,4.0,65,4.0,0,0.0
"MULE-15634",32,4.0,32,4.0,0,0.0
"MULE-15632",39,16.0,39,16.0,0,0.0
"MULE-15631",9,2.0,9,2.0,0,0.0
"MULE-15627",21,3.0,21,3.0,0,0.0
"MULE-15622",13,4.0,13,4.0,0,0.0
"MULE-15620",10,8.0,10,8.0,0,0.0
"MULE-15616",371,1.0,371,1.0,0,0.0
"MULE-15615",7,5.0,7,5.0,0,0.0
"MULE-15614",10,8.0,10,8.0,0,0.0
"MULE-15613",21,13.0,21,"13.0",0,0.0
"MULE-15610",15,13.0,15,13.0,0,0.0
"MULE-15609",19,5.0,19,5.0,0,0.0
"MULE-15608",21,1.0,21,1.0,0,0.0
"MULE-15606",22,8.0,22,8.0,0,0.0
"MULE-15601",18,4.0,55,4.0,-37,0.0
"MULE-15597",14,3.0,14,3.0,0,0.0
"MULE-15593",14,8.0,14,8.0,0,0.0
"MULE-15590",26,5.0,26,5.0,0,0.0
"MULE-15586",17,1.0,17,1.0,0,0.0
"MULE-15585",16,1.0,16,1.0,0,0.0
"MULE-15584",35,5.0,35,"5.0",0,0.0
"MULE-15583",18,1.0,18,1.0,0,0.0
"MULE-15582",250,8.0,250,8.0,0,0.0
"MULE-15579",30,5.0,30,"5.0",0,0.0
"MULE-15578",40,8.0,40,"8.0",0,0.0
"MULE-15570",212,3.0,212,3.0,0,0.0
"MULE-15562",8,8.0,8,8.0,0,0.0
"MULE-15558",11,-1.0,11,2.0,0,-3.0
"MULE-15554",26,3.0,26,"3.0",0,0.0
"MULE-15553",129,1.0,129,1.0,0,0.0
"MULE-15551",24,8.0,24,8.0,0,0.0
"MULE-15550",20,1.0,20,1.0,0,0.0
"MULE-15548",64,2.0,64,2.0,0,0.0
"MULE-15546",9,4.0,9,4.0,0,0.0
"MULE-15545",97,2.0,97,2.0,0,0.0
"MULE-15540",23,3.0,23,"3.0",0,0.0
"MULE-15539",24,2.0,24,2.0,0,0.0
"MULE-15538",34,1.0,34,1.0,0,0.0
"MULE-15535",23,1.0,23,1.0,0,0.0
"MULE-15534",24,1.0,24,1.0,0,0.0
"MULE-15533",18,1.0,18,1.0,0,0.0
"MULE-15532",16,8.0,16,8.0,0,0.0
"MULE-15531",16,1.0,16,1.0,0,0.0
"MULE-15530",95,3.0,95,"3.0",0,0.0
"MULE-15527",15,8.0,15,8.0,0,0.0
"MULE-15525",20,4.0,20,4.0,0,0.0
"MULE-15523",43,4.0,43,"4.0",0,0.0
"MULE-15520",13,1.0,13,1.0,0,0.0
"MULE-15515",47,2.0,36,2.0,11,0.0
"MULE-15514",23,3.0,23,"3.0",0,0.0
"MULE-15512",22,13.0,22,13.0,0,0.0
