"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TISTUD-8466",63,5.0,49,5.0,14,0.0
"TISTUD-8465",35,3.0,35,3.0,0,0.0
"TISTUD-8464",94,5.0,94,5.0,0,0.0
"TISTUD-8462",23,5.0,40,5.0,-17,0.0
"TISTUD-8461",63,5.0,52,5.0,11,0.0
"TISTUD-8460",27,3.0,27,3.0,0,0.0
"TISTUD-8459",61,3.0,61,3.0,0,0.0
"TISTUD-8458",1337,3.0,1337,3.0,0,0.0
"TISTUD-8457",32,5.0,34,5.0,-2,0.0
"TISTUD-8454",23,5.0,23,5.0,0,0.0
"TISTUD-8453",57,3.0,57,3.0,0,0.0
"TISTUD-8451",47,3.0,47,3.0,0,0.0
"TISTUD-8447",88,5.0,88,5.0,0,0.0
"TISTUD-8026",34,5.0,27,5.0,7,0.0
"TISTUD-8023",65,3.0,65,3.0,0,0.0
"TISTUD-8019",69,5.0,18,5.0,51,0.0
"TISTUD-8018",120,8.0,120,8.0,0,0.0
"TISTUD-8015",37,5.0,35,5.0,2,0.0
"TISTUD-8012",138,5.0,124,5.0,14,0.0
"TISTUD-8010",47,8.0,47,8.0,0,0.0
"TISTUD-8009",48,8.0,48,8.0,0,0.0
"TISTUD-8003",23,5.0,23,5.0,0,0.0
"TISTUD-7997",7145,5.0,7136,5.0,9,0.0
"TISTUD-7991",81,3.0,53,3.0,28,0.0
"TISTUD-7984",96,5.0,96,5.0,0,0.0
"TISTUD-7982",92,5.0,68,5.0,24,0.0
"TISTUD-7981",245,8.0,245,"8.0",0,0.0
"TISTUD-7979",31,3.0,31,3.0,0,0.0
"TISTUD-7974",35,3.0,35,3.0,0,0.0
"TISTUD-7972",63,5.0,63,5.0,0,0.0
"TISTUD-7971",57,3.0,57,3.0,0,0.0
"TISTUD-7965",32,3.0,34,3.0,-2,0.0
"TISTUD-7961",41,3.0,38,3.0,3,0.0
"TISTUD-7960",39,5.0,39,5.0,0,0.0
"TISTUD-7956",76,5.0,76,5.0,0,0.0
"TISTUD-7952",99,5.0,99,5.0,0,0.0
"TISTUD-7946",88,5.0,88,"5.0",0,0.0
"TISTUD-7942",66,3.0,62,"5.0",4,-2.0
"TISTUD-7916",46,3.0,46,3.0,0,0.0
"TISTUD-7911",57,5.0,57,5.0,0,0.0
"TISTUD-7910",17,1.0,17,1.0,0,0.0
"TISTUD-7905",14,5.0,14,5.0,0,0.0
"TISTUD-7900",73,5.0,73,5.0,0,0.0
"TISTUD-7899",17,2.0,17,2.0,0,0.0
"TISTUD-7883",30,5.0,30,5.0,0,0.0
"TISTUD-7880",95,5.0,93,5.0,2,0.0
"TISTUD-7879",16,3.0,16,3.0,0,0.0
"TISTUD-7872",42,3.0,42,3.0,0,0.0
"TISTUD-7871",67,5.0,67,5.0,0,0.0
"TISTUD-7867",54,5.0,54,5.0,0,0.0
"TISTUD-7855",46,5.0,46,5.0,0,0.0
"TISTUD-7852",49,1.0,49,1.0,0,0.0
"TISTUD-7826",209,5.0,182,5.0,27,0.0
"TISTUD-7822",56,5.0,56,5.0,0,0.0
"TISTUD-7805",19,5.0,40,5.0,-21,0.0
"TISTUD-7804",55,8.0,55,8.0,0,0.0
"TISTUD-7800",43,5.0,43,5.0,0,0.0
"TISTUD-7799",1600,5.0,1578,5.0,22,0.0
"TISTUD-7796",237,5.0,68,5.0,169,0.0
"TISTUD-7791",69,5.0,69,5.0,0,0.0
"TISTUD-7784",55,5.0,52,5.0,3,0.0
"TISTUD-7783",57,5.0,57,5.0,0,0.0
"TISTUD-7782",51,5.0,51,5.0,0,0.0
"TISTUD-7781",42,5.0,42,5.0,0,0.0
"TISTUD-7780",30,8.0,22,8.0,8,0.0
"TISTUD-7779",52,5.0,52,5.0,0,0.0
"TISTUD-7769",44,5.0,44,5.0,0,0.0
"TISTUD-7766",28,5.0,12,5.0,16,0.0
"TISTUD-7763",58,8.0,58,8.0,0,0.0
"TISTUD-7762",36,8.0,36,8.0,0,0.0
"TISTUD-7758",23,5.0,23,5.0,0,0.0
"TISTUD-7756",28,5.0,28,"3.0",0,2.0
"TISTUD-7755",40,5.0,29,5.0,11,0.0
"TISTUD-7754",17,3.0,17,3.0,0,0.0
"TISTUD-7747",135,8.0,196,8.0,-61,0.0
"TISTUD-7746",44,8.0,44,8.0,0,0.0
"TISTUD-7743",44,5.0,44,5.0,0,0.0
"TISTUD-7741",24,8.0,22,8.0,2,0.0
"TISTUD-7740",22,3.0,18,3.0,4,0.0
"TISTUD-7732",18,3.0,11,3.0,7,0.0
"TISTUD-7730",187,3.0,187,3.0,0,0.0
"TISTUD-7726",20,3.0,20,3.0,0,0.0
"TISTUD-7725",48,5.0,48,5.0,0,0.0
"TISTUD-7723",29,5.0,29,5.0,0,0.0
"TISTUD-7721",32,5.0,32,5.0,0,0.0
"TISTUD-7719",342,3.0,310,3.0,32,0.0
"TISTUD-7717",71,8.0,71,8.0,0,0.0
"TISTUD-7715",31,5.0,31,5.0,0,0.0
"TISTUD-7713",89,5.0,89,5.0,0,0.0
"TISTUD-7712",65,5.0,65,5.0,0,0.0
"TISTUD-7710",69,5.0,69,5.0,0,0.0
"TISTUD-7708",83,5.0,83,5.0,0,0.0
"TISTUD-7706",77,3.0,77,3.0,0,0.0
"TISTUD-7705",43,8.0,43,8.0,0,0.0
"TISTUD-7704",21,13.0,19,13.0,2,0.0
"TISTUD-7703",39,3.0,39,3.0,0,0.0
"TISTUD-7699",143,8.0,143,8.0,0,0.0
"TISTUD-7698",48,5.0,46,5.0,2,0.0
"TISTUD-7691",56,3.0,56,3.0,0,0.0
"TISTUD-7689",65,3.0,65,3.0,0,0.0
"TISTUD-7684",68,3.0,68,3.0,0,0.0
"TISTUD-7683",67,3.0,67,3.0,0,0.0
"TISTUD-7682",157,3.0,157,3.0,0,0.0
"TISTUD-7678",21,5.0,21,"5.0",0,0.0
"TISTUD-7673",52,3.0,52,3.0,0,0.0
"TISTUD-7663",32,5.0,32,5.0,0,0.0
"TISTUD-7661",17,5.0,17,5.0,0,0.0
"TISTUD-7659",34,5.0,34,5.0,0,0.0
"TISTUD-7653",222,3.0,205,3.0,17,0.0
"TISTUD-7652",85,5.0,85,5.0,0,0.0
"TISTUD-7642",115,3.0,115,3.0,0,0.0
"TISTUD-7641",157,5.0,152,5.0,5,0.0
"TISTUD-7639",45,3.0,45,3.0,0,0.0
"TISTUD-7637",52,2.0,52,2.0,0,0.0
"TISTUD-7632",71,5.0,70,5.0,1,0.0
"TISTUD-7624",78,5.0,78,5.0,0,0.0
"TISTUD-7622",113,13.0,113,13.0,0,0.0
"TISTUD-7621",262,5.0,260,5.0,2,0.0
"TISTUD-7619",31,5.0,31,5.0,0,0.0
"TISTUD-7617",71,5.0,71,5.0,0,0.0
"TISTUD-7616",50,5.0,39,5.0,11,0.0
"TISTUD-7612",37,2.0,37,2.0,0,0.0
"TISTUD-7611",49,8.0,49,8.0,0,0.0
"TISTUD-7608",51,5.0,51,5.0,0,0.0
"TISTUD-7607",34,5.0,34,5.0,0,0.0
"TISTUD-7606",63,3.0,63,3.0,0,0.0
"TISTUD-7605",612,5.0,612,5.0,0,0.0
"TISTUD-7604",39,5.0,39,5.0,0,0.0
"TISTUD-7602",69,3.0,33,3.0,36,0.0
"TISTUD-7597",64,3.0,64,3.0,0,0.0
"TISTUD-7595",191,3.0,191,3.0,0,0.0
"TISTUD-7593",106,5.0,106,5.0,0,0.0
"TISTUD-7591",20,5.0,22,5.0,-2,0.0
"TISTUD-7584",56,5.0,56,5.0,0,0.0
"TISTUD-7583",42,5.0,42,5.0,0,0.0
"TISTUD-7581",41,8.0,41,8.0,0,0.0
"TISTUD-7580",32,8.0,32,8.0,0,0.0
"TISTUD-7579",40,8.0,40,8.0,0,0.0
"TISTUD-7578",31,5.0,31,5.0,0,0.0
"TISTUD-7570",25,8.0,25,8.0,0,0.0
"TISTUD-7569",47,3.0,47,"3.0",0,0.0
"TISTUD-7565",31,21.0,31,21.0,0,0.0
"TISTUD-7563",35,2.0,35,2.0,0,0.0
"TISTUD-7562",46,5.0,46,5.0,0,0.0
"TISTUD-7557",46,5.0,46,5.0,0,0.0
"TISTUD-7552",59,5.0,59,5.0,0,0.0
"TISTUD-7548",36,1.0,36,1.0,0,0.0
"TISTUD-7546",45,8.0,54,8.0,-9,0.0
"TISTUD-7538",53,3.0,53,"3.0",0,0.0
"TISTUD-7531",38,8.0,38,8.0,0,0.0
"TISTUD-7530",22,3.0,22,3.0,0,0.0
"TISTUD-7529",66,5.0,66,5.0,0,0.0
"TISTUD-7526",24,3.0,24,3.0,0,0.0
"TISTUD-7523",43,3.0,43,3.0,0,0.0
"TISTUD-7522",61,5.0,61,5.0,0,0.0
"TISTUD-7519",174,5.0,172,5.0,2,0.0
"TISTUD-7518",89,5.0,89,5.0,0,0.0
"TISTUD-7517",69,8.0,69,8.0,0,0.0
"TISTUD-7515",14,3.0,14,3.0,0,0.0
"TISTUD-7512",202,5.0,202,5.0,0,0.0
"TISTUD-7511",89,8.0,87,8.0,2,0.0
"TISTUD-7510",65,5.0,65,5.0,0,0.0
"TISTUD-7508",33,1.0,32,1.0,1,0.0
"TISTUD-7506",30,5.0,30,5.0,0,0.0
"TISTUD-7505",50,8.0,50,"8.0",0,0.0
"TISTUD-7504",48,8.0,48,"8.0",0,0.0
"TISTUD-7498",28,-1.0,28,3.0,0,-4.0
"TISTUD-7495",87,5.0,87,5.0,0,0.0
"TISTUD-7493",88,5.0,87,5.0,1,0.0
"TISTUD-7491",62,3.0,62,3.0,0,0.0
"TISTUD-7488",12,5.0,12,5.0,0,0.0
"TISTUD-7485",56,5.0,57,5.0,-1,0.0
"TISTUD-7484",45,5.0,45,5.0,0,0.0
"TISTUD-7482",99,8.0,99,8.0,0,0.0
"TISTUD-7479",86,3.0,86,3.0,0,0.0
"TISTUD-7477",28,3.0,28,3.0,0,0.0
"TISTUD-7476",82,5.0,82,5.0,0,0.0
"TISTUD-7475",69,5.0,69,5.0,0,0.0
"TISTUD-7474",84,3.0,84,3.0,0,0.0
"TISTUD-7473",76,3.0,76,3.0,0,0.0
"TISTUD-7469",42,3.0,41,3.0,1,0.0
"TISTUD-7467",24,3.0,21,3.0,3,0.0
"TISTUD-7466",60,3.0,60,3.0,0,0.0
"TISTUD-7463",74,5.0,74,5.0,0,0.0
"TISTUD-7462",33,5.0,33,5.0,0,0.0
"TISTUD-7461",65,3.0,65,3.0,0,0.0
"TISTUD-7460",65,3.0,65,3.0,0,0.0
"TISTUD-7459",34,2.0,34,2.0,0,0.0
"TISTUD-7457",79,5.0,79,5.0,0,0.0
"TISTUD-7456",70,5.0,70,5.0,0,0.0
"TISTUD-7453",60,5.0,60,5.0,0,0.0
"TISTUD-7450",23,5.0,23,5.0,0,0.0
"TISTUD-7449",20,5.0,20,5.0,0,0.0
"TISTUD-7447",49,5.0,49,5.0,0,0.0
"TISTUD-7446",60,3.0,60,3.0,0,0.0
"TISTUD-7442",31,5.0,36,"5.0",-5,0.0
"TISTUD-7440",62,5.0,62,5.0,0,0.0
"TISTUD-7437",56,3.0,56,3.0,0,0.0
"TISTUD-7431",92,5.0,92,5.0,0,0.0
"TISTUD-7430",9,5.0,9,5.0,0,0.0
"TISTUD-7428",52,5.0,52,5.0,0,0.0
"TISTUD-7426",23,5.0,23,5.0,0,0.0
"TISTUD-7415",149,5.0,147,5.0,2,0.0
"TISTUD-7408",78,3.0,107,3.0,-29,0.0
"TISTUD-7399",30,5.0,30,"5.0",0,0.0
"TISTUD-7385",183,3.0,184,3.0,-1,0.0
"TISTUD-7380",28,-1.0,28,5.0,0,-6.0
"TISTUD-7363",66,3.0,66,3.0,0,0.0
"TISTUD-7356",375,3.0,375,3.0,0,0.0
"TISTUD-7354",27,5.0,27,5.0,0,0.0
"TISTUD-7341",33,3.0,33,3.0,0,0.0
"TISTUD-7338",18,5.0,18,5.0,0,0.0
"TISTUD-7332",23,5.0,23,5.0,0,0.0
"TISTUD-7331",25,3.0,25,3.0,0,0.0
"TISTUD-7322",74,2.0,74,2.0,0,0.0
"TISTUD-7321",51,5.0,51,5.0,0,0.0
"TISTUD-7320",54,5.0,54,5.0,0,0.0
