"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MESOS-8598",33,1.0,33,1.0,0,0.0
"MESOS-8594",76,1.0,76,1.0,0,0.0
"MESOS-8591",44,-1.0,44,3.0,0,-4.0
"MESOS-8577",27,3.0,27,3.0,0,0.0
"MESOS-8576",48,3.0,48,3.0,0,0.0
"MESOS-8575",21,3.0,21,3.0,0,0.0
"MESOS-8574",62,5.0,62,5.0,0,0.0
"MESOS-8573",95,3.0,84,3.0,11,0.0
"MESOS-8569",56,2.0,56,2.0,0,0.0
"MESOS-8568",108,5.0,108,5.0,0,0.0
"MESOS-8567",53,2.0,53,"2.0",0,0.0
"MESOS-8565",42,2.0,42,2.0,0,0.0
"MESOS-8552",60,-1.0,60,2.0,0,-3.0
"MESOS-8551",18,1.0,19,1.0,-1,0.0
"MESOS-8550",274,2.0,274,2.0,0,0.0
"MESOS-8548",50,2.0,50,2.0,0,0.0
"MESOS-8546",401,2.0,401,2.0,0,0.0
"MESOS-8545",58,5.0,58,"5.0",0,0.0
"MESOS-8539",11,2.0,11,2.0,0,0.0
"MESOS-8536",96,2.0,96,2.0,0,0.0
"MESOS-8530",29,3.0,29,"3.0",0,0.0
"MESOS-8528",0,8.0,0,8.0,0,0.0
"MESOS-8514",42,2.0,42,2.0,0,0.0
"MESOS-8513",67,3.0,67,3.0,0,0.0
"MESOS-8512",69,2.0,69,2.0,0,0.0
"MESOS-8510",34,3.0,34,3.0,0,0.0
"MESOS-8508",60,1.0,60,1.0,0,0.0
"MESOS-8497",136,2.0,77,2.0,59,0.0
"MESOS-8492",19,3.0,16,"5.0",3,-2.0
"MESOS-8489",115,5.0,115,"5.0",0,0.0
"MESOS-8488",94,2.0,94,2.0,0,0.0
"MESOS-8487",23,5.0,23,"5.0",0,0.0
"MESOS-8485",3077,3.0,3077,3.0,0,0.0
"MESOS-8484",61,1.0,61,1.0,0,0.0
"MESOS-8483",679,3.0,679,3.0,0,0.0
"MESOS-8482",54,1.0,54,1.0,0,0.0
"MESOS-8480",198,2.0,196,"3.0",2,-1.0
"MESOS-8477",70,1.0,70,1.0,0,0.0
"MESOS-8474",25,2.0,25,2.0,0,0.0
"MESOS-8473",13,3.0,13,3.0,0,0.0
"MESOS-8470",46,2.0,45,2.0,1,0.0
"MESOS-8469",69,3.0,69,3.0,0,0.0
"MESOS-8468",88,5.0,88,5.0,0,0.0
"MESOS-8467",48,2.0,48,2.0,0,0.0
"MESOS-8463",388,3.0,388,3.0,0,0.0
"MESOS-8462",12,2.0,12,2.0,0,0.0
"MESOS-8460",133,3.0,133,3.0,0,0.0
"MESOS-8455",17,-1.0,17,3.0,0,-4.0
"MESOS-8454",29,3.0,29,3.0,0,0.0
"MESOS-8453",112,3.0,112,3.0,0,0.0
