"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-25897",63,2.0,61,2.0,2,0.0
"TIMOB-25895",79,8.0,79,8.0,0,0.0
"TIMOB-25891",164,5.0,164,"5.0",0,0.0
"TIMOB-25890",91,5.0,91,"5.0",0,0.0
"TIMOB-25887",372,3.0,371,3.0,1,0.0
"TIMOB-25886",30,5.0,30,5.0,0,0.0
"TIMOB-25882",20,8.0,20,8.0,0,0.0
"TIMOB-25881",11,5.0,11,5.0,0,0.0
"TIMOB-25880",49,-1.0,49,5.0,0,-6.0
"TIMOB-25878",506,2.0,506,2.0,0,0.0
"TIMOB-25877",106,2.0,70,2.0,36,0.0
"TIMOB-25876",15,3.0,15,3.0,0,0.0
"TIMOB-25875",27,13.0,25,13.0,2,0.0
"TIMOB-25874",27,8.0,25,8.0,2,0.0
"TIMOB-25873",72,2.0,72,2.0,0,0.0
"TIMOB-25872",145,8.0,144,8.0,1,0.0
"TIMOB-25868",127,3.0,127,3.0,0,0.0
"TIMOB-25865",197,3.0,172,3.0,25,0.0
"TIMOB-25864",181,1.0,181,1.0,0,0.0
"TIMOB-25861",35,3.0,35,3.0,0,0.0
"TIMOB-25860",12,8.0,12,8.0,0,0.0
"TIMOB-25856",39,2.0,38,2.0,1,0.0
"TIMOB-25855",75,3.0,75,3.0,0,0.0
"TIMOB-25845",385,13.0,382,13.0,3,0.0
"TIMOB-25844",14,3.0,14,"3.0",0,0.0
"TIMOB-25843",123,3.0,133,3.0,-10,0.0
"TIMOB-25842",133,5.0,126,5.0,7,0.0
"TIMOB-25839",300,8.0,257,8.0,43,0.0
"TIMOB-25835",24,2.0,28,"2.0",-4,0.0
"TIMOB-25829",21,5.0,16,5.0,5,0.0
"TIMOB-25827",101,5.0,101,5.0,0,0.0
"TIMOB-25825",204,3.0,204,3.0,0,0.0
"TIMOB-25819",87,8.0,76,8.0,11,0.0
"TIMOB-25810",78,13.0,31,13.0,47,0.0
"TIMOB-25805",41,1.0,41,1.0,0,0.0
"TIMOB-25801",327,8.0,324,8.0,3,0.0
"TIMOB-25799",109,3.0,143,3.0,-34,0.0
"TIMOB-25797",113,2.0,1179,2.0,-1066,0.0
"TIMOB-25796",123,8.0,123,8.0,0,0.0
"TIMOB-25795",79,8.0,79,8.0,0,0.0
"TIMOB-25794",99,5.0,99,5.0,0,0.0
"TIMOB-25793",178,5.0,160,5.0,18,0.0
"TIMOB-25792",250,3.0,246,3.0,4,0.0
"TIMOB-25789",131,5.0,131,5.0,0,0.0
"TIMOB-25785",75,5.0,73,5.0,2,0.0
"TIMOB-25784",292,3.0,292,3.0,0,0.0
"TIMOB-25783",110,3.0,110,3.0,0,0.0
"TIMOB-25780",35,8.0,35,8.0,0,0.0
"TIMOB-25778",13,8.0,12,8.0,1,0.0
"TIMOB-25776",72,8.0,72,8.0,0,0.0
"TIMOB-25775",72,5.0,72,5.0,0,0.0
"TIMOB-25774",29,5.0,29,5.0,0,0.0
"TIMOB-25771",255,-1.0,255,5.0,0,-6.0
"TIMOB-25770",270,5.0,270,5.0,0,0.0
"TIMOB-25769",17,3.0,20,3.0,-3,0.0
"TIMOB-25767",96,3.0,96,3.0,0,0.0
"TIMOB-25760",59,5.0,59,"5.0",0,0.0
"TIMOB-25757",19,3.0,19,3.0,0,0.0
"TIMOB-25756",155,5.0,104,5.0,51,0.0
"TIMOB-25755",18,11.0,17,11.0,1,0.0
"TIMOB-25753",124,1.0,120,1.0,4,0.0
