"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,0,0,0,3,"2018-06-19T14:53:28.000+0000",False,False,False,False,"TIMOB-26140","Story"
0,2,0,2,0,"2018-06-19T14:25:01.000+0000",False,True,True,False,"TIMOB-26139","Bug"
0,0,0,0,3,"2018-06-19T13:00:37.000+0000",False,False,False,False,"TIMOB-26137","Story"
0,0,0,0,2,"2018-06-14T19:10:40.000+0000",False,True,False,False,"TIMOB-26130","Bug"
0,0,0,0,8,"2018-06-13T18:49:05.000+0000",False,True,False,False,"TIMOB-26128","Improvement"
1,0,1,0,3,"2018-06-12T21:56:01.000+0000",False,True,False,True,"TIMOB-26126","Bug"
0,3,0,3,0,"2018-06-12T18:17:11.000+0000",False,True,False,False,"TIMOB-26124","Bug"
0,0,0,0,4,"2018-06-11T23:08:19.000+0000",False,False,False,True,"TIMOB-26121","Bug"
0,0,0,0,0,"2018-06-11T18:00:30.000+0000",False,False,False,False,"TIMOB-26120","Improvement"
0,0,0,2,4,"2018-06-08T22:35:51.000+0000",False,True,False,False,"TIMOB-26117","Bug"
0,1,0,0,0,"2018-06-08T14:53:01.000+0000",False,False,False,False,"TIMOB-26115","New Feature"
0,0,0,0,0,"2018-06-08T14:34:40.000+0000",False,False,False,False,"TIMOB-26113","Bug"
0,0,0,0,0,"2018-06-07T17:11:10.000+0000",False,False,False,False,"TIMOB-26109","Bug"
1,0,1,3,0,"2018-06-07T14:47:20.000+0000",False,True,False,False,"TIMOB-26108","Bug"
0,0,0,0,0,"2018-06-07T04:30:07.000+0000",False,False,False,False,"TIMOB-26106","Story"
0,2,0,0,0,"2018-06-06T01:42:36.000+0000",False,True,False,False,"TIMOB-26102","Improvement"
0,0,0,0,0,"2018-06-05T00:02:00.000+0000",False,False,False,False,"TIMOB-26090","Improvement"
0,0,0,0,0,"2018-06-04T23:17:24.000+0000",False,False,False,False,"TIMOB-26089","Improvement"
0,0,0,0,0,"2018-06-04T06:59:16.000+0000",False,True,False,False,"TIMOB-26086","Bug"
0,0,0,0,0,"2018-06-04T06:46:53.000+0000",False,True,False,False,"TIMOB-26085","Bug"
0,2,0,1,0,"2018-05-31T09:56:36.000+0000",False,True,False,False,"TIMOB-26081","Bug"
1,0,1,2,0,"2018-05-31T09:38:54.000+0000",False,True,False,False,"TIMOB-26080","Bug"
0,1,0,0,0,"2018-05-30T20:33:41.000+0000",False,True,False,False,"TIMOB-26078","New Feature"
0,0,0,0,0,"2018-05-30T14:09:14.000+0000",False,False,False,False,"TIMOB-26077","Bug"
0,1,0,0,0,"2018-05-24T21:01:17.000+0000",False,False,False,False,"TIMOB-26067","New Feature"
0,1,0,0,0,"2018-05-24T13:34:55.000+0000",False,False,False,False,"TIMOB-26065","Story"
1,0,0,4,2,"2018-05-18T17:22:28.000+0000",False,True,False,False,"TIMOB-26055","Bug"
0,0,0,0,1,"2018-05-17T23:50:11.000+0000",False,True,False,True,"TIMOB-26051","Improvement"
0,0,0,0,1,"2018-05-16T22:32:17.000+0000",True,False,False,False,"TIMOB-26048","Improvement"
0,0,0,0,0,"2018-05-16T02:08:59.000+0000",False,True,False,False,"TIMOB-26045","Bug"
0,0,0,0,0,"2018-05-11T15:45:10.000+0000",False,True,False,False,"TIMOB-26033","Story"
0,0,0,0,0,"2018-05-09T23:04:10.000+0000",False,False,False,False,"TIMOB-26028","Improvement"
0,1,0,0,0,"2018-05-09T15:26:24.000+0000",False,True,True,False,"TIMOB-26027","Bug"
0,0,0,0,0,"2018-05-09T10:42:15.000+0000",False,False,False,False,"TIMOB-26025","Improvement"
0,0,0,0,0,"2018-05-09T10:39:03.000+0000",False,False,False,False,"TIMOB-26022","Improvement"
0,0,0,0,0,"2018-05-04T17:46:06.000+0000",False,True,False,False,"TIMOB-26014","Bug"
0,0,0,0,0,"2018-05-01T17:57:26.000+0000",False,True,False,False,"TIMOB-26010","Bug"
0,0,0,0,0,"2018-05-03T08:19:36.000+0000",False,False,False,False,"TIMOB-26009","Story"
0,0,0,0,0,"2018-05-03T08:16:00.000+0000",False,True,False,False,"TIMOB-26008","Bug"
0,0,0,0,1,"2018-05-03T01:08:39.000+0000",False,False,False,False,"TIMOB-26007","Improvement"
0,0,0,0,1,"2018-05-01T21:41:01.000+0000",False,True,False,False,"TIMOB-26006","Improvement"
0,0,0,0,0,"2018-05-01T21:38:21.000+0000",False,False,False,False,"TIMOB-26005","New Feature"
0,0,0,0,0,"2018-05-01T21:37:50.000+0000",False,False,False,False,"TIMOB-26004","New Feature"
0,0,0,0,0,"2018-05-01T21:17:32.000+0000",False,False,False,False,"TIMOB-26003","New Feature"
0,0,0,0,0,"2018-05-01T10:15:10.000+0000",False,False,False,False,"TIMOB-26000","New Feature"
0,0,0,0,0,"2018-05-01T10:07:29.000+0000",False,False,False,False,"TIMOB-25997","New Feature"
0,0,0,0,0,"2018-05-01T10:00:51.000+0000",False,False,False,False,"TIMOB-25995","New Feature"
0,0,0,0,0,"2018-05-01T10:00:22.000+0000",False,False,False,False,"TIMOB-25994","New Feature"
0,0,0,0,0,"2018-04-25T04:04:32.000+0000",False,True,False,False,"TIMOB-25989","Bug"
0,0,0,0,0,"2018-04-23T17:54:17.000+0000",True,True,False,False,"TIMOB-25983","Bug"
0,0,0,0,0,"2018-04-20T16:21:43.000+0000",False,True,False,False,"TIMOB-25979","Bug"
0,0,0,0,0,"2018-04-19T14:31:26.000+0000",False,True,False,False,"TIMOB-25977","Bug"
0,0,0,0,0,"2018-04-13T22:50:59.000+0000",True,False,True,False,"TIMOB-25965","Improvement"
0,0,0,0,2,"2018-04-13T17:11:34.000+0000",False,False,True,False,"TIMOB-25963","Improvement"
0,0,0,0,7,"2018-04-10T22:31:51.000+0000",False,True,False,False,"TIMOB-25955","Improvement"
0,7,0,0,0,"2018-04-10T18:26:06.000+0000",False,True,False,False,"TIMOB-25953","New Feature"
0,0,0,0,0,"2018-04-10T14:00:34.000+0000",True,True,False,False,"TIMOB-25952","Bug"
0,1,0,0,0,"2018-04-10T08:03:15.000+0000",False,False,False,False,"TIMOB-25950","Improvement"
0,0,0,0,0,"2018-04-10T07:30:30.000+0000",True,True,False,True,"TIMOB-25949","Bug"
0,1,0,0,0,"2018-04-09T05:57:44.000+0000",False,False,False,False,"TIMOB-25946","New Feature"
1,1,1,0,0,"2018-04-06T18:20:43.000+0000",False,True,False,False,"TIMOB-25943","Bug"
0,0,0,0,0,"2018-01-24T16:51:45.000+0000",True,True,False,False,"TIMOB-25941","Improvement"
1,1,0,6,0,"2018-04-05T21:53:34.000+0000",False,True,False,False,"TIMOB-25939","Improvement"
1,0,0,4,2,"2018-04-05T21:16:21.000+0000",False,True,False,False,"TIMOB-25937","Improvement"
1,0,1,2,0,"2018-04-05T18:20:53.000+0000",False,True,False,False,"TIMOB-25936","Bug"
0,0,0,0,0,"2018-04-05T08:00:00.000+0000",False,True,False,False,"TIMOB-25935","Bug"
0,1,0,0,0,"2018-04-05T06:07:32.000+0000",False,False,False,False,"TIMOB-25933","New Feature"
0,5,0,4,0,"2018-04-04T19:04:55.000+0000",False,True,False,False,"TIMOB-25932","Bug"
0,0,0,0,0,"2018-04-04T19:00:13.000+0000",False,True,False,False,"TIMOB-25931","Improvement"
0,0,0,0,3,"2018-04-04T08:51:26.000+0000",False,False,False,False,"TIMOB-25927","Story"
0,1,0,0,0,"2018-04-02T08:13:30.000+0000",False,False,False,False,"TIMOB-25923","New Feature"
0,0,0,6,0,"2018-03-30T18:36:09.000+0000",True,False,False,False,"TIMOB-25919","Bug"
1,0,1,3,0,"2018-03-29T14:10:06.000+0000",False,True,False,False,"TIMOB-25914","Bug"
1,0,0,2,0,"2018-03-28T23:12:57.000+0000",False,True,False,False,"TIMOB-25913","Bug"
0,0,0,0,0,"2018-03-28T06:21:26.000+0000",False,True,False,False,"TIMOB-25908","New Feature"
0,0,0,0,0,"2018-03-23T12:41:07.000+0000",False,True,False,False,"TIMOB-25897","Bug"
0,0,0,0,0,"2018-03-22T12:30:37.000+0000",False,True,False,False,"TIMOB-25895","Improvement"
0,0,0,0,0,"2018-03-21T05:57:30.000+0000",False,True,False,False,"TIMOB-25891","Story"
0,0,0,0,0,"2018-03-21T02:04:04.000+0000",False,True,False,False,"TIMOB-25890","Improvement"
0,0,0,0,25,"2018-03-19T22:18:41.000+0000",False,True,False,False,"TIMOB-25887","Bug"
0,0,0,0,0,"2018-03-19T22:05:34.000+0000",False,True,False,False,"TIMOB-25886","Improvement"
0,0,0,0,0,"2018-03-19T07:00:26.000+0000",False,True,False,False,"TIMOB-25881","New Feature"
0,3,0,0,11,"2018-03-17T04:13:24.000+0000",False,True,False,False,"TIMOB-25878","Improvement"
0,4,0,2,0,"2018-03-17T02:48:29.000+0000",False,True,False,False,"TIMOB-25877","Bug"
0,0,0,0,1,"2018-03-16T23:42:02.000+0000",False,True,False,False,"TIMOB-25876","Bug"
0,0,0,0,0,"2018-03-15T18:37:12.000+0000",True,True,False,False,"TIMOB-25874","Bug"
1,0,0,6,0,"2018-03-16T03:16:50.000+0000",False,False,False,False,"TIMOB-25873","Bug"
0,1,0,0,0,"2018-03-14T23:34:18.000+0000",True,False,False,False,"TIMOB-25868","Story"
0,2,0,0,5,"2018-03-14T02:43:13.000+0000",False,True,False,False,"TIMOB-25865","Improvement"
0,2,0,0,4,"2018-03-13T21:03:36.000+0000",False,True,False,False,"TIMOB-25864","Improvement"
0,0,0,0,0,"2018-03-13T10:32:55.000+0000",False,False,False,False,"TIMOB-25861","New Feature"
0,1,0,0,1,"2018-03-12T22:37:17.000+0000",False,True,False,False,"TIMOB-25860","Improvement"
