"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"XD-3300","Story","2015-07-24T13:35:06.000+0000",0,0,0,True,False,False,0,False,0
"XD-3298","Story","2015-07-24T12:49:33.000+0000",0,0,0,True,False,False,0,False,1
"XD-3296","Story","2015-07-24T11:36:56.000+0000",0,0,0,False,False,False,2,False,0
"XD-3288","Story","2015-07-22T12:54:27.000+0000",0,0,0,True,False,False,0,False,1
"XD-3287","Bug","2015-07-22T09:09:26.000+0000",0,0,0,False,False,False,0,False,1
"XD-3283","Story","2015-07-22T08:22:07.000+0000",0,0,0,False,False,False,0,False,0
"XD-3282","Story","2015-07-22T08:17:23.000+0000",0,0,0,False,False,False,0,False,0
"XD-3271","Story","2015-07-21T11:45:49.000+0000",0,0,0,True,False,False,0,False,0
"XD-3270","Story","2015-07-21T11:41:42.000+0000",0,0,0,True,False,False,0,False,0
"XD-3269","Story","2015-07-21T11:30:01.000+0000",0,0,0,False,False,False,0,False,0
"XD-3267","Story","2015-07-21T11:18:55.000+0000",0,0,0,True,False,False,0,False,0
"XD-3266","Bug","2015-07-20T01:47:57.000+0000",0,0,0,True,False,False,0,False,1
"XD-3265","Story","2015-07-19T18:01:11.000+0000",0,0,0,True,False,False,0,False,0
"XD-3263","Bug","2015-07-16T12:27:39.000+0000",0,0,0,False,False,False,0,False,0
"XD-3261","Story","2015-07-16T08:35:36.000+0000",0,0,0,False,False,False,0,False,2
"XD-3259","Story","2015-07-15T10:39:31.000+0000",0,0,0,False,False,False,0,False,0
"XD-3258","Story","2015-07-14T11:21:39.000+0000",0,0,0,False,False,False,0,False,0
"XD-3249","Story","2015-07-10T02:51:03.000+0000",0,0,0,False,False,False,0,False,0
"XD-3241","Story","2015-07-09T03:04:12.000+0000",0,0,0,False,False,False,0,False,0
"XD-3240","Story","2015-07-09T03:02:50.000+0000",0,0,0,False,False,False,0,False,0
"XD-3239","Story","2015-07-08T11:47:16.000+0000",0,0,0,False,False,False,0,False,0
"XD-3238","Story","2015-07-08T11:40:24.000+0000",0,0,0,False,False,False,0,False,0
"XD-3235","Bug","2015-07-08T08:51:59.000+0000",0,0,0,True,True,False,1,True,0
"XD-3234","Story","2015-07-08T08:01:03.000+0000",0,0,0,False,False,False,3,False,0
"XD-3233","Story","2015-07-08T07:53:10.000+0000",0,0,0,False,False,False,0,False,0
"XD-3232","Story","2015-07-08T07:50:28.000+0000",0,0,0,False,False,False,0,False,0
"XD-3231","Story","2015-07-07T14:10:03.000+0000",0,0,0,False,False,False,0,False,0
"XD-3230","Story","2015-07-07T14:07:40.000+0000",0,0,0,False,False,False,0,False,0
"XD-3229","Story","2015-07-07T14:06:13.000+0000",0,0,0,False,False,False,0,False,0
"XD-3228","Story","2015-07-07T13:56:53.000+0000",0,0,0,False,False,False,0,False,0
"XD-3227","Story","2015-07-07T13:55:59.000+0000",0,0,0,False,False,False,0,False,0
"XD-3226","Story","2015-07-07T13:49:11.000+0000",0,0,0,False,False,False,0,False,0
"XD-3225","Story","2015-07-07T13:48:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3224","Story","2015-07-07T13:47:27.000+0000",0,0,0,False,False,False,0,False,0
"XD-3222","Story","2015-07-07T08:09:22.000+0000",0,0,0,True,False,False,0,False,1
"XD-3220","Bug","2015-07-07T03:26:38.000+0000",0,0,0,True,False,False,0,True,0
"XD-3219","Bug","2015-07-06T12:36:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3218","Improvement","2015-07-06T11:41:04.000+0000",0,0,0,False,False,False,0,False,0
"XD-3217","Bug","2015-07-03T08:13:14.000+0000",0,0,0,True,False,False,0,False,0
"XD-3216","Bug","2015-07-02T14:27:26.000+0000",0,0,0,False,False,False,0,False,1
"XD-3214","Bug","2015-07-02T05:21:13.000+0000",0,0,0,True,False,False,0,False,0
"XD-3208","Bug","2015-06-24T10:07:01.000+0000",0,0,0,False,False,False,0,False,1
"XD-3206","Bug","2015-06-24T01:28:42.000+0000",0,0,0,True,False,False,0,False,0
"XD-3205","Story","2015-06-23T08:51:51.000+0000",0,0,0,False,False,False,0,False,0
"XD-3204","Story","2015-06-23T08:48:21.000+0000",0,0,0,False,False,False,0,False,0
"XD-3202","Story","2015-06-23T08:45:37.000+0000",0,0,0,False,False,False,0,False,0
"XD-3198","Story","2015-06-23T06:19:55.000+0000",0,0,0,False,False,False,0,False,0
"XD-3196","Story","2015-06-22T13:30:21.000+0000",0,0,0,False,False,False,0,False,0
"XD-3194","Story","2015-06-22T13:07:59.000+0000",0,0,0,False,False,False,0,False,0
"XD-3193","Story","2015-06-22T13:01:29.000+0000",0,0,0,False,False,False,0,False,1
"XD-3192","Story","2015-06-22T12:49:11.000+0000",0,0,0,False,False,False,0,False,1
"XD-3189","Story","2015-06-18T12:42:27.000+0000",0,0,0,False,False,False,0,False,0
"XD-3188","Bug","2015-06-18T08:00:46.000+0000",0,0,0,True,False,False,0,False,0
"XD-3184","Story","2015-06-16T05:59:32.000+0000",0,0,0,False,False,False,0,False,0
"XD-3183","Story","2015-06-16T04:08:11.000+0000",0,0,0,True,False,False,0,False,1
"XD-3178","Bug","2015-06-12T13:31:35.000+0000",0,0,0,False,False,False,0,False,0
"XD-3177","Story","2015-06-10T12:13:51.000+0000",0,0,0,False,False,False,0,False,0
"XD-3176","Bug","2015-06-10T11:59:23.000+0000",0,0,0,True,True,False,0,False,0
"XD-3172","Story","2015-06-10T02:53:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3169","Story","2015-06-09T08:42:07.000+0000",0,0,0,False,False,False,0,False,0
"XD-3166","Story","2015-06-08T19:21:47.000+0000",0,0,0,False,False,False,0,False,0
"XD-3165","Story","2015-06-08T19:18:54.000+0000",0,0,0,False,False,False,0,False,0
"XD-3164","Story","2015-06-08T19:04:52.000+0000",0,0,0,False,False,False,2,False,0
"XD-3162","Story","2015-06-08T13:55:49.000+0000",0,0,0,False,False,False,0,False,0
"XD-3161","Story","2015-06-08T13:40:09.000+0000",0,0,0,False,False,False,0,False,0
"XD-3160","Story","2015-06-08T08:36:53.000+0000",0,0,0,False,False,False,0,False,0
"XD-3154","Story","2015-06-05T12:16:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3153","Story","2015-06-05T12:15:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3152","Story","2015-06-05T12:13:51.000+0000",0,0,0,False,False,False,0,False,0
"XD-3151","Story","2015-06-05T08:06:33.000+0000",0,0,0,False,False,False,0,False,0
"XD-3150","Bug","2015-06-05T05:59:25.000+0000",0,0,0,True,True,False,0,False,0
"XD-3149","Story","2015-06-05T05:52:06.000+0000",0,0,0,False,False,False,0,False,0
"XD-3148","Story","2015-06-04T14:30:49.000+0000",0,0,0,False,False,False,0,False,0
"XD-3147","Story","2015-06-04T13:42:44.000+0000",0,0,0,True,False,False,0,False,0
"XD-3142","Bug","2015-06-03T16:51:47.000+0000",0,0,0,False,False,False,0,False,0
"XD-3141","Bug","2015-06-03T16:15:31.000+0000",0,0,0,False,False,False,0,False,0
"XD-3140","Story","2015-06-03T14:30:54.000+0000",0,0,0,False,False,False,0,False,0
"XD-3139","Story","2015-06-03T14:28:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3137","Story","2015-06-03T08:52:16.000+0000",0,0,0,False,False,False,0,False,1
"XD-3136","Bug","2015-06-02T13:59:53.000+0000",0,0,0,True,True,False,0,False,0
"XD-3135","Bug","2015-06-02T11:21:14.000+0000",0,0,0,False,True,False,0,False,0
"XD-3133","Bug","2015-06-01T16:24:41.000+0000",0,0,0,False,False,False,0,False,0
"XD-3132","Bug","2015-06-01T16:19:04.000+0000",0,0,0,True,True,False,0,False,0
"XD-3131","Bug","2015-06-01T16:00:46.000+0000",0,0,0,False,False,False,0,False,0
"XD-3130","Bug","2015-06-01T15:51:59.000+0000",0,0,0,False,False,False,0,False,0
"XD-3127","Story","2015-06-01T10:18:09.000+0000",0,0,0,False,False,False,0,False,0
"XD-3126","Story","2015-06-01T08:07:57.000+0000",0,0,0,False,False,False,0,False,0
"XD-3125","Story","2015-06-01T08:03:34.000+0000",0,0,0,False,False,False,0,False,0
"XD-3124","Bug","2015-06-01T07:11:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3123","Bug","2015-06-01T06:38:47.000+0000",0,0,0,False,False,False,0,False,0
"XD-3118","Story","2015-05-28T08:30:36.000+0000",0,0,0,True,False,False,0,False,0
"XD-3117","Story","2015-05-28T07:49:25.000+0000",0,0,0,True,True,False,0,False,1
"XD-3116","Story","2015-05-28T07:39:44.000+0000",0,0,0,False,False,False,0,False,0
"XD-3115","Story","2015-05-28T07:34:12.000+0000",0,0,0,False,False,False,0,False,0
"XD-3114","Story","2015-05-28T07:33:19.000+0000",0,0,0,False,False,False,0,False,0
"XD-3113","Story","2015-05-27T13:48:33.000+0000",0,0,0,False,False,False,0,False,1
"XD-3112","Story","2015-05-27T10:37:39.000+0000",0,0,0,False,False,False,0,True,1
"XD-3111","Story","2015-05-27T08:03:25.000+0000",0,0,0,False,False,False,0,False,0
"XD-3110","Story","2015-05-26T21:39:27.000+0000",0,0,0,False,False,False,0,False,0
"XD-3107","Story","2015-05-26T09:36:35.000+0000",0,0,0,False,False,False,0,False,0
"XD-3106","Story","2015-05-26T08:36:36.000+0000",0,0,0,False,False,False,0,False,0
"XD-3105","Story","2015-05-26T08:29:19.000+0000",0,0,0,False,False,False,0,False,0
"XD-3104","Story","2015-05-26T08:26:55.000+0000",0,0,0,False,False,False,0,False,0
"XD-3103","Story","2015-05-26T08:26:18.000+0000",0,0,0,False,False,False,0,False,0
"XD-3102","Story","2015-05-26T08:13:59.000+0000",0,0,0,False,False,False,0,False,0
"XD-3101","Story","2015-05-26T07:55:41.000+0000",0,0,0,False,False,False,0,False,0
"XD-3098","Story","2015-05-22T13:46:38.000+0000",0,0,0,False,False,False,0,False,0
"XD-3096","Story","2015-05-21T19:54:36.000+0000",0,0,0,False,False,False,0,False,0
"XD-3095","Story","2015-05-21T19:49:27.000+0000",0,0,0,False,False,False,0,False,0
"XD-3094","Bug","2015-05-21T12:42:44.000+0000",0,0,0,False,False,False,0,False,0
"XD-3093","Bug","2015-05-21T11:18:02.000+0000",0,0,0,False,False,False,2,False,0
"XD-3092","Story","2015-05-21T10:40:07.000+0000",0,0,0,False,False,False,3,False,0
"XD-3091","Story","2015-05-21T07:34:56.000+0000",0,0,0,False,False,False,0,False,0
"XD-3090","Bug","2015-05-21T06:36:03.000+0000",0,0,0,False,False,False,0,False,1
"XD-3089","Story","2015-05-21T05:48:41.000+0000",0,0,0,False,False,False,0,False,0
"XD-3086","Bug","2015-05-20T10:00:33.000+0000",0,0,0,True,False,False,0,False,0
"XD-3082","Story","2015-05-19T12:16:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3081","Bug","2015-05-19T11:45:57.000+0000",0,0,0,True,True,False,1,False,2
"XD-3079","Bug","2015-05-19T08:01:17.000+0000",0,0,0,False,False,False,5,True,0
"XD-3078","Bug","2015-05-19T01:48:44.000+0000",4,0,0,False,False,True,19,True,0
"XD-3077","Story","2015-05-18T15:20:13.000+0000",0,0,0,False,False,False,0,False,0
