issue_key,issuetype,created,sp_change,text_multinomial,text_gaussian,text_bernoulli,text_complement,GROUP
TISTUD-5631,Story,2013-10-31T20:48:38.000+0000,FALSE,0.001415587,0,2.14E-32,0.052071377,A
TISTUD-8846,Bug,2017-08-17T06:33:14.000+0000,FALSE,0.003430339,0,1,0.117685865,A
TISTUD-8865,Improvement,2017-09-19T04:23:33.000+0000,FALSE,0.007411136,0,4.59E-35,0.224400816,A
TISTUD-5068,Improvement,2013-07-03T14:12:28.000+0000,FALSE,0.001677204,0,4.29E-21,0.061121756,A
TISTUD-8890,Improvement,2017-10-13T03:58:17.000+0000,FALSE,0.004194246,0,1.03E-31,0.140311162,A
TISTUD-5365,Bug,2013-09-07T00:10:32.000+0000,FALSE,0.001480232,0,3.34E-31,0.054323447,A
TISTUD-8023,Bug,2016-03-18T09:17:08.000+0000,FALSE,0.002315279,0,6.86E-28,0.082505907,A
TISTUD-5977,Bug,2014-01-05T16:44:45.000+0000,FALSE,0.006171865,0,4.57E-28,0.193967663,A
TISTUD-8764,New Feature,2017-05-15T17:51:25.000+0000,FALSE,0.006809954,0,2.27E-26,0.209920289,A
TISTUD-8490,Bug,2016-05-12T23:52:12.000+0000,FALSE,0.00920272,0,1,0.264661345,A
TISTUD-5664,Improvement,2013-11-06T22:48:33.000+0000,FALSE,0.002880968,0,9.34E-33,0.100687125,A
TISTUD-7689,Bug,2015-08-27T22:26:33.000+0000,FALSE,0.001261551,0,9.59E-26,0.046662846,A
TISTUD-5338,Bug,2013-08-29T17:05:53.000+0000,FALSE,0.001908568,0,6.11E-22,0.06898662,A
TISTUD-5074,Improvement,2013-07-03T14:15:42.000+0000,FALSE,0.001872974,0,6.53E-21,0.067785032,A
TISTUD-4783,Bug,2013-05-27T22:30:33.000+0000,FALSE,0.003147942,0,2.17E-32,0.109026601,A
TISTUD-4518,Story,2013-05-04T01:23:30.000+0000,FALSE,0.010422486,0,1.14E-25,0.289835776,A
TISTUD-7593,Bug,2015-06-18T23:36:01.000+0000,FALSE,0.001176726,0,2.40E-13,0.043658767,A
TISTUD-7171,Bug,2015-02-04T00:54:26.000+0000,FALSE,0.001891076,0,8.12E-27,0.068396489,A
TISTUD-7779,Bug,2015-10-13T22:00:18.000+0000,FALSE,0.003209631,0,2.37E-28,0.11093226,A
TISTUD-9045,Bug,2018-03-27T07:18:20.000+0000,FALSE,0.003743499,0,6.50E-31,0.127099288,A
TISTUD-5767,Bug,2013-11-19T21:47:48.000+0000,FALSE,0.004335877,0,2.71E-25,0.144382747,A
TISTUD-7523,Bug,2015-05-20T05:13:23.000+0000,FALSE,0.001541752,0,9.84E-31,0.056457042,A
TISTUD-6198,Bug,2014-02-25T19:31:12.000+0000,FALSE,0.001723064,0,5.53E-23,0.062690971,A
TISTUD-9113,Bug,2018-08-23T09:27:40.000+0000,FALSE,0.007248722,0,5.53E-32,0.220539671,A
TISTUD-6250,Bug,2014-03-12T05:35:03.000+0000,FALSE,0.001558642,0,6.66E-26,0.05704116,A
TISTUD-6281,Story,2014-03-31T20:46:54.000+0000,FALSE,0.001634229,0,1.42E-34,0.059646645,A
TISTUD-5151,Bug,2013-07-25T10:15:48.000+0000,FALSE,0.011348617,0,5.45E-19,0.307865953,A
TISTUD-5321,Improvement,2013-08-27T13:18:08.000+0000,FALSE,0.002750488,0,1.09E-33,0.096555927,A
TISTUD-7783,Bug,2015-10-15T23:01:53.000+0000,FALSE,0.005201648,0,4.04E-28,0.168480631,A
TISTUD-9053,Bug,2018-04-02T08:30:37.000+0000,FALSE,0.002357615,0,6.05E-25,0.083891258,A
TISTUD-8963,Bug,2017-12-18T07:07:40.000+0000,FALSE,0.010480988,0,2.62E-29,0.291001443,A
TISTUD-7466,Story,2015-04-30T08:27:52.000+0000,FALSE,0.004808413,0,3.77E-25,0.15770057,A
TISTUD-7052,Bug,2014-11-14T23:47:39.000+0000,FALSE,0.004052465,0,3.65E-31,0.136197459,A
TISTUD-7510,Bug,2015-05-16T00:02:22.000+0000,FALSE,0.000370596,0,1.07E-32,0.014162464,A
TISTUD-6443,Improvement,2014-05-09T21:38:08.000+0000,FALSE,0.010438865,0,5.04E-33,0.290162513,A
TISTUD-5999,Bug,2014-01-09T00:26:56.000+0000,FALSE,0.000560154,0,2.89E-30,0.021256486,A
TISTUD-5353,Story,2013-09-06T22:06:28.000+0000,FALSE,0.003931845,0,6.63E-30,0.132667531,A
TISTUD-5462,Improvement,2013-10-02T21:46:47.000+0000,FALSE,0.002579039,0,2.54E-30,0.091071192,A
TISTUD-8912,Bug,2017-11-16T18:32:20.000+0000,FALSE,0.010634653,0,1.49E-32,0.294045749,A
TISTUD-7593,Bug,2015-06-18T23:36:01.000+0000,FALSE,0.001176726,0,2.40E-13,0.043658767,A
TISTUD-9148,Improvement,2018-10-31T15:47:12.000+0000,FALSE,0.002434494,0,2.84E-33,0.0863966,A
TISTUD-7804,Bug,2015-10-23T21:55:04.000+0000,FALSE,0.001184838,0,2.67E-30,0.043946829,A
TISTUD-2300,Bug,2012-09-18T18:14:28.000+0000,FALSE,0.001481671,0,7.18E-26,0.05437346,A
TISTUD-7076,Improvement,2014-12-02T01:31:19.000+0000,FALSE,0.002835871,0,1.20E-13,0.09926345,A
TISTUD-8531,Story,2016-07-08T10:22:12.000+0000,FALSE,0.003486031,0,1.65E-29,0.119374329,A
TISTUD-8461,Story,2016-04-12T02:37:08.000+0000,FALSE,0.006145392,0,8.00E-25,0.193292341,A
TISTUD-5631,Story,2013-10-31T20:48:38.000+0000,FALSE,0.001415587,0,2.14E-32,0.052071377,A
TISTUD-7867,Bug,2015-11-18T21:11:03.000+0000,FALSE,0.002211329,0,9.71E-32,0.07908699,A
TISTUD-6689,Improvement,2014-07-07T20:31:06.000+0000,FALSE,0.005236429,0,6.27E-25,0.169421254,A
TISTUD-5642,Bug,2013-11-04T18:42:32.000+0000,FALSE,0.001035832,0,3.88E-29,0.038628026,A
TISTUD-7450,Improvement,2015-04-24T16:20:30.000+0000,FALSE,0.002885946,0,2.20E-33,0.100843999,A
TISTUD-8685,Improvement,2017-01-10T04:51:01.000+0000,FALSE,0.007404242,0,1.90E-17,0.224237676,A
TISTUD-9053,Bug,2018-04-02T08:30:37.000+0000,FALSE,0.002357615,0,6.05E-25,0.083891258,A
TISTUD-4325,Bug,2013-04-18T21:52:08.000+0000,FALSE,0.002601841,0,4.13E-20,0.091804366,A
TISTUD-8643,Bug,2016-10-27T09:31:50.000+0000,FALSE,0.003626602,0,9.75E-13,0.123608331,A
TISTUD-5061,Story,2013-07-02T13:33:56.000+0000,FALSE,0.007859898,0,1.30E-27,0.234879646,A
TISTUD-7867,Bug,2015-11-18T21:11:03.000+0000,FALSE,0.002211329,0,9.71E-32,0.07908699,A
TISTUD-8643,Bug,2016-10-27T09:31:50.000+0000,FALSE,0.003626602,0,9.75E-13,0.123608331,A
TISTUD-5769,Improvement,2013-11-19T23:34:57.000+0000,FALSE,0.000893244,0,9.30E-29,0.033484133,A
TISTUD-8541,Bug,2016-07-26T08:00:56.000+0000,FALSE,0.000828334,0,5.30E-31,0.031124673,A
TISTUD-8866,Improvement,2017-09-19T04:36:54.000+0000,FALSE,0.003659932,0,6.68E-35,0.124606429,A
TISTUD-4251,Improvement,2013-04-12T20:21:46.000+0000,FALSE,0.006902659,0,5.82E-33,0.212187264,A
