"issue_key","storypoints","issuetype","time_in_status"
"XD-3049",3.0,"Story",57.90333
"XD-3048",1.0,"Bug",4.22361
"XD-3047",5.0,"Story",47.38583
"XD-3046",2.0,"Bug",0.00333
"XD-3043",1.0,"Story",48.04667
"XD-3042",5.0,"Story",0.00111
"XD-3041",1.0,"Improvement",0.07056
"XD-3036",1.0,"Story",44.99556
"XD-3033",3.0,"Story",1.16306
"XD-3030",5.0,"Bug",0.00444
"XD-3027",1.0,"Story",10.98917
"XD-3025",5.0,"Bug",4.08278
"XD-3024",5.0,"Story",0.00111
"XD-3023",1.0,"Story",92.30194
"XD-3022",3.0,"Bug",3.77611
"XD-3019",1.0,"Story",0.00278
"XD-3018",2.0,"Story",15.01222
"XD-3017",5.0,"Story",2.20222
"XD-3016",1.0,"Story",917.71889
"XD-3015",2.0,"Bug",0.57833
"XD-3014",1.0,"Story",2.86444
"XD-3013",2.0,"Story",0.00333
"XD-3009",1.0,"Bug",0.01139
"XD-3008",1.0,"Bug",1.15944
"XD-3007",1.0,"Bug",0.00361
"XD-3004",3.0,"Story",0.00222
"XD-3003",1.0,"Story",9.37
"XD-3000",5.0,"Story",2.42389
"XD-2999",3.0,"Story",0.00639
"XD-2996",5.0,"Bug",0.00167
"XD-2995",1.0,"Bug",1.08722
"XD-2994",3.0,"Story",0.00167
"XD-2993",8.0,"Story",341.12806
"XD-2992",3.0,"Story",166.03806
"XD-2987",2.0,"Story",0.00361
"XD-2986",8.0,"Story",239.96028
"XD-2984",3.0,"Bug",0.85056
"XD-2980",8.0,"Story",0.93778
"XD-2979",8.0,"Story",0.00194
"XD-2972",3.0,"Bug",0.00139
"XD-2971",1.0,"Story",0.00167
"XD-2970",8.0,"Story",170.81167
"XD-2962",8.0,"Story",261.23417
"XD-2958",8.0,"Story",340.24722
"XD-2957",3.0,"Story",1205.00444
"XD-2956",1.0,"Story",2.64
"XD-2955",5.0,"Story",0.00139
"XD-2953",3.0,"Story",0.00278
"XD-2949",2.0,"Story",5.58972
"XD-2942",2.0,"Improvement",0.005
"XD-2941",3.0,"Bug",31.20694
"XD-2935",5.0,"Story",0.00333
"XD-2934",5.0,"Story",0.00333
"XD-2931",1.0,"Bug",32.045
"XD-2929",1.0,"Story",1.58194
"XD-2924",3.0,"Bug",19.36722
"XD-2923",3.0,"Bug",0.26833
"XD-2922",3.0,"Story",435.46667
"XD-2921",1.0,"Story",30.25917
"XD-2920",2.0,"Improvement",0.00222
"XD-2919",5.0,"Story",0.00222
"XD-2916",8.0,"Story",381.10694
"XD-2915",8.0,"Story",381.34528
"XD-2911",8.0,"Story",95.24028
"XD-2909",5.0,"Story",378.25056
"XD-2908",5.0,"Story",0.005
"XD-2906",2.0,"Story",2.22389
"XD-2904",1.0,"Story",13.00361
"XD-2903",1.0,"Story",1.33528
"XD-2902",1.0,"Story",0.92333
"XD-2899",3.0,"Story",101.60389
"XD-2896",3.0,"Story",7.63278
"XD-2893",2.0,"Story",0.00194
"XD-2892",3.0,"Story",1.57472
"XD-2891",3.0,"Story",0.11889
"XD-2887",3.0,"Story",0.00139
"XD-2885",1.0,"Story",0.09528
"XD-2882",3.0,"Story",26.5225
"XD-2879",5.0,"Story",56.16889
"XD-2876",1.0,"Improvement",0.02611
"XD-2872",3.0,"Bug",336.41028
"XD-2868",5.0,"Story",5.10139
"XD-2865",2.0,"Bug",18.80722
"XD-2864",2.0,"Story",0.01972
"XD-2861",1.0,"Bug",0.00111
"XD-2860",2.0,"Improvement",0.00389
"XD-2859",1.0,"Story",0.03444
"XD-2858",5.0,"Story",112.74639
"XD-2855",2.0,"Improvement",2.75833
"XD-2854",5.0,"Bug",140.28444
"XD-2853",1.0,"Bug",9.66167
"XD-2852",5.0,"Story",161.44167
"XD-2850",5.0,"Story",47.89806
"XD-2845",5.0,"Story",173.44
"XD-2844",8.0,"Story",231.15583
"XD-2842",2.0,"Bug",64.18667
"XD-2838",2.0,"Story",7.41333
"XD-2837",3.0,"Bug",1.11139
"XD-2834",2.0,"Story",197.31722
"XD-2833",1.0,"Story",0.00417
"XD-2832",5.0,"Story",0.07806
"XD-2831",8.0,"Improvement",17.78583
"XD-2830",2.0,"Story",3.66028
"XD-2829",1.0,"Story",0.38139
"XD-2828",1.0,"Bug",0.09583
"XD-2825",1.0,"Story",27.16861
"XD-2823",2.0,"Story",21.62722
"XD-2817",3.0,"Bug",0.37806
"XD-2815",2.0,"Story",170.23944
"XD-2814",3.0,"Story",102.25472
"XD-2807",3.0,"Story",0.0025
"XD-2801",3.0,"Story",215.3275
"XD-2797",5.0,"Story",216.30944
"XD-2795",8.0,"Story",223.00139
"XD-2794",5.0,"Improvement",0.66083
"XD-2793",8.0,"Story",168.75694
"XD-2791",1.0,"Story",10.5675
"XD-2788",3.0,"Story",2.00528
"XD-2787",3.0,"Story",12.07333
"XD-2786",2.0,"Story",27.3775
"XD-2785",3.0,"Story",27.4075
"XD-2784",3.0,"Story",0.11361
"XD-2779",3.0,"Bug",0.11111
"XD-2778",1.0,"Story",0.92694
"XD-2777",1.0,"Story",73.4925
"XD-2776",8.0,"Story",391.67111
"XD-2774",5.0,"Bug",21.7225
"XD-2769",1.0,"Bug",1.31194
"XD-2767",1.0,"Bug",70.90556
"XD-2766",8.0,"Story",145.69361
"XD-2764",1.0,"Bug",0.03083
"XD-2762",2.0,"Story",170.59556
"XD-2761",5.0,"Story",97.69861
"XD-2759",1.0,"Bug",2.07472
"XD-2755",5.0,"Bug",0.49611
"XD-2752",8.0,"Bug",312.59778
"XD-2750",8.0,"Story",201.17917
"XD-2749",8.0,"Story",197.68694
"XD-2748",3.0,"Story",149.0275
"XD-2747",8.0,"Story",270.67389
"XD-2744",8.0,"Story",198.365
"XD-2743",5.0,"Story",0.00556
"XD-2742",8.0,"Story",223.72722
"XD-2741",1.0,"Story",0.44083
"XD-2739",3.0,"Story",0.00639
"XD-2735",1.0,"Improvement",0.3025
"XD-2734",8.0,"Story",7.68944
"XD-2730",3.0,"Story",22.94194
"XD-2729",3.0,"Story",27.46556
"XD-2728",3.0,"Bug",1.68472
"XD-2727",3.0,"Bug",0.145
"XD-2719",3.0,"Story",21.48611
"XD-2717",1.0,"Story",0.00417
"XD-2716",8.0,"Story",56.59222
"XD-2715",8.0,"Story",28.97306
"XD-2713",8.0,"Story",142.43278
"XD-2712",2.0,"Story",0.00528
"XD-2710",1.0,"Bug",241.01222
"XD-2706",1.0,"Story",2.59722
"XD-2704",8.0,"Story",17.59667
"XD-2700",2.0,"Story",0.00806
"XD-2699",3.0,"Story",0.00194
"XD-2698",2.0,"Story",2.91944
"XD-2696",1.0,"Story",1.23389
"XD-2691",5.0,"Story",0.52278
"XD-2690",1.0,"Story",3.47417
"XD-2687",1.0,"Story",0.005
"XD-2686",1.0,"Story",2.86722
"XD-2684",1.0,"Story",1.16444
"XD-2683",5.0,"Bug",5.43972
"XD-2681",1.0,"Story",1.09056
"XD-2676",8.0,"Story",0.00889
"XD-2674",1.0,"Improvement",0.0025
"XD-2672",8.0,"Story",0.12417
"XD-2671",8.0,"Bug",212.88306
"XD-2670",1.0,"Story",0.00778
"XD-2667",1.0,"Story",1.70389
"XD-2666",5.0,"Story",46.86528
"XD-2665",1.0,"Story",0.47361
"XD-2664",8.0,"Story",52.64583
"XD-2661",5.0,"Story",576.75222
"XD-2656",5.0,"Story",124.33556
"XD-2655",1.0,"Improvement",1.94333
"XD-2654",1.0,"Story",30.54278
"XD-2652",2.0,"Story",47.73306
"XD-2651",5.0,"Story",744.91722
"XD-2649",2.0,"Story",0.06083
"XD-2646",1.0,"Bug",1.05472
"XD-2645",1.0,"Bug",0.32
"XD-2643",3.0,"Story",0.57528
"XD-2638",1.0,"Bug",2.09694
"XD-2637",1.0,"Story",0.00333
"XD-2635",1.0,"Story",0.0275
"XD-2631",1.0,"Story",0.49556
"XD-2630",5.0,"Story",147.89556
"XD-2628",5.0,"Story",143.15722
"XD-2626",1.0,"Improvement",1.48028
"XD-2625",2.0,"Improvement",89.86028
"XD-2621",3.0,"Story",0.00833
"XD-2618",1.0,"Story",0.00194
"XD-2617",3.0,"Story",6.65583
"XD-2616",3.0,"Bug",1.61444
"XD-2612",1.0,"Story",3.91056
"XD-2611",1.0,"Bug",0.53944
"XD-2609",1.0,"Bug",19.87917
"XD-2608",3.0,"Bug",0.00417
"XD-2607",1.0,"Bug",123.33056
"XD-2606",3.0,"Story",0.8325
"XD-2600",1.0,"Story",93.75028
"XD-2599",2.0,"Story",0.00167
"XD-2598",2.0,"Improvement",2.34722
"XD-2597",5.0,"Story",6.90611
"XD-2595",8.0,"Story",54.11861
"XD-2594",3.0,"Story",0.13583
"XD-2591",1.0,"Story",0.18611
"XD-2590",3.0,"Story",4.17306
"XD-2589",2.0,"Story",69.015
"XD-2588",3.0,"Story",2.47639
"XD-2584",1.0,"Story",0.62333
"XD-2575",5.0,"Improvement",144.49167
"XD-2574",5.0,"Improvement",0.025
"XD-2573",5.0,"Bug",590.58361
"XD-2572",1.0,"Story",17.96167
"XD-2570",2.0,"Story",17.86361
"XD-2569",3.0,"Story",40.42
"XD-2567",1.0,"Bug",1.11361
"XD-2566",8.0,"Story",166.71556
"XD-2564",2.0,"Improvement",15.40333
"XD-2563",1.0,"Bug",16.28722
"XD-2562",3.0,"Story",7.23222
"XD-2561",1.0,"Bug",50.75583
"XD-2556",1.0,"Story",2.15611
"XD-2548",8.0,"Story",193.47389
"XD-2547",3.0,"Story",31.27694
"XD-2546",2.0,"Story",2.5225
"XD-2544",5.0,"Story",93.96556
"XD-2542",8.0,"Story",53.64306
"XD-2541",1.0,"Story",53.16917
"XD-2539",5.0,"Bug",1.45694
"XD-2537",1.0,"Bug",0.00806
"XD-2533",1.0,"Story",0.7225
"XD-2532",5.0,"Bug",187.01222
"XD-2524",1.0,"Improvement",0.00222
"XD-2523",3.0,"Story",70.84111
"XD-2521",2.0,"Story",41.515
"XD-2516",3.0,"Bug",18.5975
"XD-2510",1.0,"Bug",10.52556
"XD-2508",3.0,"Story",56.28361
"XD-2505",3.0,"Bug",0.00167
"XD-2504",5.0,"Story",0.00472
"XD-2502",2.0,"Story",2.65556
"XD-2501",5.0,"Story",31.64333
"XD-2499",1.0,"Story",21.53472
"XD-2496",1.0,"Story",29.95389
"XD-2492",2.0,"Improvement",102.91167
"XD-2490",2.0,"Story",47.32361
"XD-2489",3.0,"Story",23.11278
"XD-2488",3.0,"Story",70.05222
"XD-2487",5.0,"Story",173.8175
"XD-2486",8.0,"Bug",168.96556
"XD-2485",1.0,"Story",3.88444
"XD-2484",1.0,"Story",68.54028
"XD-2483",1.0,"Story",66.80111
"XD-2482",1.0,"Improvement",3.38139
"XD-2481",2.0,"Story",5.79556
"XD-2480",5.0,"Story",48.08917
"XD-2477",8.0,"Story",74.84639
"XD-2475",8.0,"Story",116.02806
"XD-2473",3.0,"Story",51.14556
"XD-2471",3.0,"Story",51.145
"XD-2467",8.0,"Story",337.87472
"XD-2466",5.0,"Story",337.87361
"XD-2462",5.0,"Story",236.34806
"XD-2456",5.0,"Story",147.09528
"XD-2433",8.0,"Story",337.87639
"XD-2432",3.0,"Story",337.87667
"XD-2430",8.0,"Story",265.58944
"XD-2429",1.0,"Bug",0.31611
