"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-7430",5.0,"Improvement",15.43528
"TISTUD-7428",5.0,"Bug",390.14083
"TISTUD-7426",5.0,"Story",54.45306
"TISTUD-7415",5.0,"Bug",2.16361
"TISTUD-7408",3.0,"Bug",1.23889
"TISTUD-7399",8.0,"Improvement",215.69333
"TISTUD-7363",3.0,"Bug",0.14056
"TISTUD-7356",3.0,"Bug",16.97472
"TISTUD-7354",5.0,"Bug",2.05833
"TISTUD-7341",3.0,"Improvement",1.04722
"TISTUD-7338",5.0,"Improvement",2.40028
"TISTUD-7332",5.0,"Improvement",139.85111
"TISTUD-7322",2.0,"Bug",0.00667
"TISTUD-7321",5.0,"Bug",1.23889
"TISTUD-7320",5.0,"Bug",4.09278
"TISTUD-7314",3.0,"Story",0.23972
"TISTUD-7313",3.0,"Bug",0.70722
"TISTUD-7301",5.0,"Bug",57.86583
"TISTUD-7289",5.0,"Bug",49.85944
"TISTUD-7284",3.0,"Improvement",0.66778
"TISTUD-7283",3.0,"Improvement",0.51833
"TISTUD-7282",3.0,"Improvement",0.18222
"TISTUD-7261",5.0,"Bug",0.00389
"TISTUD-7253",5.0,"Bug",20.91694
"TISTUD-7251",8.0,"Bug",31.81833
"TISTUD-7244",5.0,"Bug",4.09694
"TISTUD-7243",5.0,"Bug",2.07306
"TISTUD-7233",8.0,"Improvement",44.21972
"TISTUD-7232",5.0,"Bug",1.34417
"TISTUD-7231",5.0,"Bug",1.75889
"TISTUD-7212",3.0,"Bug",98.61528
"TISTUD-7210",5.0,"Story",0.925
"TISTUD-7208",5.0,"New Feature",48.28056
"TISTUD-7198",5.0,"Bug",137.39306
"TISTUD-7191",8.0,"Bug",5.05028
"TISTUD-7186",8.0,"New Feature",171.18917
"TISTUD-7172",5.0,"Bug",0.26556
"TISTUD-7171",5.0,"Bug",0.02972
"TISTUD-7144",5.0,"Improvement",50.53472
"TISTUD-7141",3.0,"Bug",5.01889
"TISTUD-7138",5.0,"New Feature",24.46694
"TISTUD-7132",5.0,"Bug",14.64056
"TISTUD-7129",8.0,"Story",42.11333
