"issue_key","storypoints","issuetype","time_in_status"
"TIMOB-24925",5.0,"Bug",27.46389
"TIMOB-24919",3.0,"Bug",2.16389
"TIMOB-24909",8.0,"Improvement",1893.22722
"TIMOB-24906",5.0,"Bug",18.79306
"TIMOB-24903",3.0,"Bug",21.05028
"TIMOB-24900",5.0,"Bug",72.30778
"TIMOB-24898",3.0,"Bug",0.33583
"TIMOB-24894",3.0,"Bug",47.02028
"TIMOB-24893",5.0,"Bug",26.86528
"TIMOB-24892",3.0,"Bug",0.0025
"TIMOB-24885",3.0,"Story",0.17361
"TIMOB-24883",5.0,"Bug",141.78417
"TIMOB-24870",1.0,"Bug",0.11361
"TIMOB-24869",3.0,"Bug",19.92028
"TIMOB-24868",1.0,"Bug",0.01167
"TIMOB-24866",3.0,"Bug",23.38167
"TIMOB-24863",5.0,"Bug",0.07667
"TIMOB-24862",1.0,"Bug",20.98861
"TIMOB-24861",5.0,"Bug",93.17056
"TIMOB-24858",5.0,"Bug",0.35
"TIMOB-24856",13.0,"Improvement",1207.37528
"TIMOB-24853",1.0,"Improvement",0.00389
"TIMOB-24851",5.0,"Improvement",0.20972
"TIMOB-24849",5.0,"Bug",0.49306
"TIMOB-24848",5.0,"Bug",19.73611
"TIMOB-24847",3.0,"Bug",9.50833
"TIMOB-24842",3.0,"Bug",4.62806
"TIMOB-24840",3.0,"Bug",0.07833
"TIMOB-24839",5.0,"Bug",0.53083
"TIMOB-24838",5.0,"Bug",3.23972
"TIMOB-24836",5.0,"Bug",93.16917
"TIMOB-24834",2.0,"Bug",0.99778
"TIMOB-24833",5.0,"Bug",22.23389
"TIMOB-24832",5.0,"Bug",5.12361
"TIMOB-24831",5.0,"Bug",164.13417
"TIMOB-24830",8.0,"Bug",27.40222
"TIMOB-24829",15.0,"Improvement",1005.70833
"TIMOB-24828",5.0,"Bug",164.26861
"TIMOB-24827",5.0,"Bug",93.1675
"TIMOB-24825",3.0,"Bug",70.595
"TIMOB-24822",3.0,"Bug",0.38583
"TIMOB-24819",5.0,"Bug",0.1775
"TIMOB-24818",5.0,"Bug",389.22694
"TIMOB-24817",8.0,"New Feature",216.9525
"TIMOB-24814",5.0,"Bug",13.63833
"TIMOB-24810",3.0,"Bug",0.04694
"TIMOB-24808",5.0,"New Feature",1136.50972
"TIMOB-24807",3.0,"Story",1.25528
"TIMOB-24802",5.0,"New Feature",35.36194
"TIMOB-24796",8.0,"Bug",0.87028
"TIMOB-24795",5.0,"Improvement",0.39472
